Startup ID,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
1,Blockchain,8,1335165853.1,6621448041.82,50,Germany,2012,77.1
2,SaaS,2,2781498219.93,8363214103.89,36,UK,2006,105.52
3,EdTech,10,3309031930.22,15482697353.1,39,Singapore,2016,190.47
4,Fintech,5,4050196269.12,12682527892.18,44,France,2021,9.44
5,EdTech,9,1645080294.64,6887965942.87,48,India,2011,192.0
6,EdTech,3,3939088574.84,11462969525.3,38,Singapore,2003,26.28
7,HealthTech,8,1349245127.85,2490393546.17,24,India,2017,104.98
8,Blockchain,7,4128951425.92,16303568856.29,24,India,2006,89.13
9,Blockchain,3,3950045010.91,9733266249.0,5,Brazil,2007,57.99
10,Fintech,10,4865378632.8,18692791832.25,31,USA,2000,31.16
11,HealthTech,7,2797198504.14,13826645051.85,17,UK,2019,33.69
12,E-commerce,2,1726597437.89,7608269223.79,19,Canada,2021,199.0
13,HealthTech,5,1818562344.1,4835268340.07,14,China,2000,105.73
14,E-commerce,7,1095961480.41,3965453491.28,44,Australia,2016,31.95
15,Blockchain,3,4195481545.25,13491122379.38,24,India,2009,99.34
16,EdTech,6,3098366688.83,7743384208.77,32,UK,2008,142.01
17,SaaS,2,2545210318.74,11381431784.36,46,Australia,2010,164.5
18,Biotech,4,2695914069.44,11492050840.25,29,Brazil,2013,25.17
19,E-commerce,9,3434765565.55,10200304017.19,28,Singapore,2021,93.38
20,SaaS,1,567429029.03,2805347516.83,50,UK,2016,115.76
21,Blockchain,7,3427058576.36,12358527827.87,35,Brazil,2001,46.26
22,SaaS,4,3465387849.44,5927235280.19,45,Singapore,2021,107.46
23,EdTech,9,4566754284.14,7545805565.32,7,Singapore,2014,69.76
24,AI,4,3021729517.51,5211428908.02,2,USA,2014,114.99
25,E-commerce,8,288205121.58,1415080231.45,22,Germany,2021,176.28
26,E-commerce,10,3334508349.99,5015410780.91,1,Brazil,2017,154.84
27,Biotech,2,4166499162.52,16357699018.24,22,Germany,2002,82.81
28,EdTech,5,440011615.23,1565465840.35,9,China,2013,146.55
29,E-commerce,3,3256022294.9,8096886148.45,48,USA,2010,99.75
30,SaaS,5,3026419469.15,6802919454.5,13,Brazil,2005,47.37
31,AI,9,4705042824.65,17203808326.96,35,Germany,2002,87.95
32,E-commerce,1,4294449811.39,20891484639.41,8,China,2019,91.51
33,AI,7,2867170174.15,6499884835.94,27,Germany,2019,83.3
34,EdTech,9,4374659519.73,6662238862.93,2,France,2016,196.58
35,Blockchain,6,3777513647.39,15234607026.32,12,Australia,2003,186.59
36,Blockchain,3,3647514987.49,5586375044.63,18,Australia,2014,13.16
